content,score
"menurut gua ni game kureng banget, knp gua bisa ngomong gitu, karna matchmaking sering banget gak adil. sering lag gk jls, fitur report yang gak berguna maraknya player yang sengaja troll tidak di tanggapi dengan serius, ajuan report yang yang tidak di gubris (hanya influencer) yang dilihat dan di prioritas, karna mereka mempromosikan game nya. sorry to say gua hapus ni game. semoga kedepannya diperbaiki lagi bukan event nya aja ya..thanks",1
"Tolong perbaiki jaringan nya,padahal kalo buka aplikasi lain sama game lain lancar aja,tapi pas main ml ping nya nyentuh 80 terus turun lagi ke 20 ms ga lama naik lagi,padahal waktu belum update main ml lancar² aja.",1
"Jaringan nya perbaiki lagi,, sering bgt nglag parah pas lagi war , pdhal sinyal bgus,, . Prnah jga udah mulai masuk game lagi war malah balik sndri k lobi,, kacau ,, perbaiki dulu mslah jaringannya moonton. Dah jaringan kacau,, ga ada protection jaringan lagi,, suek bener.. jngan tiba2 nglag merah pas lagi war pdhal sinyal bgus, , ,tolong perbaiki lagi biar pada seneng mainnya, selebihnya sih ok ok ajah ,, slain jaringan yg kacaauuuu bener bener kacau . Parahhh",1
Gara gara penjoki jadi banyak dark sistem di di mythic ke atas. .,5
"Jangan main solo di mobile legends, kalau kalian ngga mau di prank sama moontroll. Udah uninstall aja permainanya ngga adil.",1
Dahlahh,1
Game nya bagus si tapi tolong kasi kawan nya di Reng itu gotak sikit masak gua 3hari 3 malam maini tapi ap Reng gua cuma namba 2 gak logika aj buang 2 waktu aj bisa Gilak aku ain nya kalo kekgini terus,1
"jelek tidak rekomanded untuk di mainkan, bikin org jadi bodoh dengan sistem dark nya yg terlalu berlebihan, tidak seperti itu untuk mendapatkan pemain, yg selalu di dapatkan tim jelek atau tidak bisa kompak, sinyal bug, skin terlalu mahal satu juga kendala yg sering di alami banyak player yaitu, adanya dark sistem atau system dark moonton tolong itu di kurangi soal nya bisa membuat org dpresi mudah marah, tidak terkontrol",1
Kenapa season sekarang tuh sulit bener mau push renk aja kadang lawan sama tim nya tuh gak seimbang menurut saya kurang adil season sebelum nya tuh gak sesulit seperti ini tolong lah moonton jangan mempersulit pemain buat push renk jadi saran saya buat lah pemain mobile legend ini bahagia,2
koneksi lag dan down total padahal ping bagus jaringan bagus,1
Game bagus tapi kikir terus Matchmaking nya sampah dan tim nya kayak binatang sampah.,1
"Makin bosen aja nie game kasian yg solo min dapat team noob terus Dan tiba-tiba afk padahal jaringan bagus2, tolong diproses",1
"ya sebenarnya bagus bagus aja, cuman terkadang saat pilih grafik ke sedang/high/ultra, kadang kadang effect nya malah hilang kayak grafik smooth, ini sih tolong di fix ya moonton, dan perbaiki lagi pada fitur download datanya, saya sudah download data yang saya butuhkan saat dalam pertandingan sesuai yang ada didalam skun saya mau itu skin yang dibeli, hero yang dibeli, fiturnya tdk terlalu brguna, tiba"" download sendiri",1
"game aneh kalo dapet tik engga seimbang sama musuh, 5vs5 uda kaya sndiri vs 5",1
"Kepada montoon yg sudah mulai gak jelas ngasih team, karena pemainnya sudah banyak yg pindah ke HOK, tolong ngasih team jelas, kalo tim lawan jago, tim saya juga yg jago, bukan lawannya jago, tim saya tolol, malah makin ngebosenin nih game, kalo kayak gitu teruss,, denger ya montoon",1
ayolahh moonton kasih keadilan pada player solo lahh agar mendapatkan tim yang waras cape gw semaleman begadang bintang segitu gitu doang gak nambah gak kurang,1
